model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,mean_rating,distance_sum,rating_min,speed_max,rides_count,ride_time_median,ride_stops_count,user_quality_median,rider_rating_mean,car_accidents_sum,driver_expirience,driver_age_mean,fix_duration_median,mean_destroy_degree,rarest_work,most_freq_work
VW Polo VI,economy,petrol,4.86,2014,54274,2015,4.766494252873564,15031676.495071467,0.1,178.0,168,56.0,685,10.487676017684048,8.00287356321839,1824.0,0.5959841655968194,35.367816091954026,25.0,3.5114285714285716,refuel_check,repair
VW Polo VI,economy,petrol,3.88,2014,56409,2018,4.476379310344828,11174387.053824637,0.0,186.39266848893817,171,43.5,138,14.989148660267597,7.966666666666667,1224.0,0.6460466505288074,34.51724137931034,25.0,3.2885714285714283,refuel,reparking
Smart ForTwo,economy,petrol,2.88,2013,39450,2019,4.469597701149426,12680047.14633071,0.1,104.12644220079504,172,39.0,128,-9.582047724802765,7.8149425287356316,1612.0,0.5401126818343723,33.7816091954023,26.0,3.1657142857142855,refuel_check,reparking
Skoda Rapid,economy,petrol,5.3,2013,40347,2017,4.204827586206896,11950702.324327482,0.1,177.85718960988564,166,44.5,123,-4.105496753545729,8.158045977011493,2061.0,0.44173123374461754,33.695402298850574,26.0,4.188571428571429,refuel_check,repair
VW Polo VI,economy,petrol,5.52,2012,22525,2017,4.751206896551724,17535665.228997435,0.1,191.0,169,55.0,584,9.429755458262942,8.15919540229885,1983.0,0.46866686045981787,33.55747126436781,25.0,3.625714285714286,refuel,repair
VW Polo,economy,petrol,5.24,2015,92675,2018,4.616609195402298,6861510.819414827,0.1,167.0898822378815,165,40.0,142,6.135628801857706,8.204597701149424,2213.0,0.7013575134936421,32.12643678160919,25.0,2.8657142857142857,refuel_check,repair
Kia Sportage,standart,petrol,5.24,2014,55640,2017,3.8443678160919537,16466220.541972768,0.1,196.826975776542,170,46.0,139,-6.7194090624763625,7.815517241379311,1562.0,0.47812931465803116,31.649425287356323,25.0,3.617142857142857,refuel_check,repair
Skoda Rapid,economy,petrol,4.3,2017,132832,2019,4.55919540229885,13768766.77600344,0.1,158.9013145828281,173,45.0,146,-4.209221085386844,8.09712643678161,1765.0,0.704695957932955,32.63793103448276,25.0,3.942857142857143,refuel,repair
Kia Rio X,economy,petrol,4.34,2013,47924,2021,5.464712643678161,9670717.470612405,0.1,113.33299785227928,170,38.0,132,5.790355328970801,7.8982758620689655,1302.0,0.5394991709896176,35.672413793103445,24.0,4.182857142857143,refuel_check,repair
Smart ForFour,economy,petrol,3.84,2016,103173,2019,4.636149425287357,9968266.888854282,0.1,180.60720600365025,170,55.0,597,-3.842356828848196,8.074137931034484,1704.0,0.5076830672171525,34.02298850574713,28.0,3.4085714285714284,refuel_check,reparking
VW Polo VI,economy,petrol,3.0,2011,147,2017,4.168390804597701,14939546.237526767,0.1,198.1125408095321,173,41.0,160,0.8849705038498794,8.001724137931035,1179.0,0.4815944348708741,35.333333333333336,27.0,3.1685714285714286,refuel,repair
Renault Kaptur,standart,petrol,5.16,2015,89470,2017,4.859022988505747,21162330.31299011,0.68,168.0,168,40.0,129,-19.985210887465918,8.09655172413793,1975.0,0.6298335217255804,32.770114942528735,26.0,2.702857142857143,refuel_check,repair
Skoda Rapid,economy,petrol,2.68,2013,44266,2017,4.054367816091954,17141922.214802977,0.0,186.0,171,48.0,137,4.833568813814011,8.0183908045977,1236.0,0.45478986859632237,35.40229885057471,25.0,3.5228571428571427,refuel,repair
Skoda Rapid,economy,petrol,5.16,2015,94179,2018,4.699310344827586,17321833.42761673,0.1,110.40356483962174,172,39.0,138,13.536214448601877,7.819540229885057,1671.0,0.5423463956905847,33.189655172413794,24.0,2.682857142857143,refuel_check,reparking
Skoda Rapid,economy,petrol,4.1,2017,124005,2020,4.704425287356322,10048814.580278497,0.1,177.41427842412344,164,55.5,690,-6.866898109873635,8.088505747126437,2255.0,0.5098881437162341,33.91379310344828,25.0,3.834285714285714,refuel_check,repair
Kia Rio,economy,petrol,3.86,2014,64951,2019,4.635344827586207,7674181.231536045,0.1,157.0,173,36.5,136,2.3256786853092812,8.078735632183909,1953.0,0.4507971496101167,34.206896551724135,23.0,2.525714285714286,refuel,reparking
Kia Rio X-line,economy,petrol,5.04,2015,97690,2015,4.687701149425287,15594269.304048918,0.1,111.03427176661884,170,40.0,157,-4.23782441333714,7.831609195402299,1553.0,0.631085823761456,33.0,27.0,3.4028571428571426,refuel,reparking
Audi A3,premium,petrol,5.28,2017,129974,2019,4.533160919540229,19629298.419137545,0.12,107.75449660948344,171,48.0,143,5.859334344498063,7.913793103448276,1570.0,0.5937218143834758,35.270114942528735,26.0,4.485714285714286,refuel,repair
Skoda Rapid,economy,petrol,3.06,2017,122855,2021,4.569942528735632,8279093.559366484,0.1,105.44723469576388,172,37.5,153,10.99432994254847,7.860344827586207,1741.0,0.4927343667948063,33.264367816091955,24.0,4.282857142857143,refuel_reparking,repair
Kia Rio,economy,petrol,5.78,2012,18438,2019,4.127528735632184,16279922.671474522,0.1,189.4819261617484,169,43.0,138,-10.632353946180778,8.032758620689656,1350.0,0.513107654059904,34.8448275862069,26.0,2.8342857142857145,refuel,reparking
Mercedes-Benz E200,business,petrol,3.02,2011,4762,2014,3.859367816091954,12320017.890792664,0.1,192.5684481097162,172,46.5,165,-19.09789066957369,8.045402298850576,1639.0,0.22779366496443373,36.45402298850575,25.0,3.4028571428571426,refuel,repair
Skoda Rapid,economy,petrol,4.94,2015,87063,2017,4.289942528735632,12747585.278548433,0.1,110.5431823151826,166,37.0,125,-4.833995496211379,7.759770114942529,1430.0,0.37527605418873083,34.201149425287355,27.0,3.4914285714285715,refuel,repair
Audi A4,premium,petrol,3.24,2017,111161,2021,5.595,10839707.607170656,0.33,103.91456268996312,169,41.0,151,2.434713630816699,8.061494252873564,1270.0,0.41622747488596257,37.41379310344828,26.0,3.6114285714285717,refuel,repair
Kia Sportage,standart,petrol,4.54,2014,70966,2015,4.130919540229885,11317623.408570666,0.1,176.2086937559003,164,46.0,128,-1.7216099406161336,8.124712643678162,2200.0,0.5713274011070872,32.32183908045977,22.0,3.797142857142857,refuel,repair
Renault Sandero,standart,petrol,4.94,2015,87015,2017,5.306609195402299,15907266.742687985,0.1,111.50272113193716,171,38.5,134,0.22976341560230945,7.901149425287356,1131.0,0.4800810396100544,34.64367816091954,28.0,3.877142857142857,refuel,repair
MINI CooperSE,business,electro,5.56,2013,44392,2017,4.347701149425287,11040106.055307418,0.1,104.65825501560136,164,36.0,148,6.626382466133543,7.867816091954023,1453.0,0.3255252231744173,35.660919540229884,26.0,3.6771428571428566,refuel,reparking
Smart Coupe,economy,petrol,4.62,2013,40082,2022,5.5217241379310344,11485072.321005603,0.75,118.00987880427374,167,36.0,146,14.7978649501087,8.008620689655173,1222.0,0.2082100973539963,35.367816091954026,26.0,3.4371428571428573,refuel,reparking
VW Tiguan,economy,petrol,3.76,2017,131667,2017,4.442988505747127,17894168.933081668,0.1,172.46222926782195,169,44.0,155,-2.9663616369617545,8.063793103448276,1709.0,0.38031287203300906,36.264367816091955,27.0,4.271428571428571,refuel,repair
Renault Sandero,standart,petrol,2.68,2015,86364,2018,4.128275862068966,14958893.541349778,0.1,161.8610893502895,171,41.5,140,-2.384019955198805,8.140229885057472,2150.0,0.8065832899376895,34.61494252873563,28.0,2.674285714285714,refuel,reparking
Smart ForTwo,economy,petrol,5.62,2017,115296,2020,4.059827586206897,18514517.145578634,0.1,183.78764847853853,170,47.0,124,2.1519926104986142,8.059770114942529,1378.0,0.39893489584600006,34.339080459770116,27.0,2.5742857142857143,refuel,reparking
Smart ForTwo,economy,petrol,3.82,2015,78585,2021,5.5713218390804595,12880881.48551717,0.16,99.02304917060876,168,41.0,140,-13.970684533433584,8.03735632183908,1301.0,0.5569106841252236,34.57471264367816,26.0,2.551428571428571,refuel_check,reparking
Renault Sandero,standart,petrol,6.7,2015,77361,2019,4.190172413793103,16453595.95755532,0.1,184.60527670971436,170,44.0,127,-3.5626630785172675,7.89367816091954,1513.0,0.7955050173951387,33.310344827586206,24.0,3.8800000000000003,refuel_check,repair
Renault Sandero,standart,petrol,2.86,2011,3520,2017,4.320574712643678,9363454.541867647,0.1,188.67163067281936,169,42.5,172,-2.66748255654623,8.05,1296.0,0.7864677388867704,34.701149425287355,25.0,2.862857142857143,refuel,repair
Hyundai Solaris,economy,petrol,3.62,2015,92167,2016,4.433390804597701,22235691.31818074,0.1,159.8160673865057,170,37.0,129,5.754678725886757,8.051724137931034,2086.0,0.7809980036747624,32.333333333333336,25.0,3.274285714285714,refuel,repair
Smart Coupe,economy,petrol,3.62,2016,110782,2015,4.073045977011494,13664239.599978885,0.0,159.1067873153957,167,44.5,142,0.09508499945991344,8.02183908045977,1324.0,0.2757777491708696,33.87931034482759,29.0,3.974285714285714,refuel_check,reparking
Renault Sandero,standart,petrol,4.1,2014,65503,2020,4.292068965517242,14972630.887081265,0.1,155.71607417260137,169,35.5,133,-11.85819131185107,8.151149425287356,2109.0,0.44300340380338354,32.82183908045977,27.0,2.4257142857142857,refuel,reparking
Smart ForTwo,economy,petrol,3.7,2017,122555,2018,4.070747126436781,22757404.773838848,0.0,189.8004633122136,169,41.5,144,4.721440734947832,7.958620689655172,1342.0,0.6080691303060723,33.51149425287356,23.0,3.5485714285714285,refuel_check,repair
Renault Sandero,standart,petrol,5.4,2015,89645,2018,4.62183908045977,14380200.997987833,0.91,167.6697478484411,173,41.5,147,-1.4796004375086826,8.066666666666666,2248.0,0.6946398609128782,31.70689655172414,27.0,3.1342857142857143,refuel_check,repair
VW Tiguan,economy,petrol,3.08,2017,116955,2018,4.635919540229885,11951366.877945565,0.1,181.0,165,49.5,690,7.407702488696017,8.17816091954023,2135.0,0.65241627015688,35.14942528735632,28.0,4.5685714285714285,refuel,repair
Nissan Qashqai,standart,petrol,3.84,2013,35433,2021,4.103965517241379,18141467.033813182,0.1,185.2388785364344,168,46.0,130,5.842021520359692,8.051149425287356,1784.0,0.5467444223437429,34.31609195402299,26.0,3.6485714285714286,refuel_check,repair
VW Tiguan,economy,petrol,6.5,2017,118123,2021,5.367816091954023,12108284.017428905,0.1,107.0293271331836,169,42.0,148,1.425949139674598,8.011494252873563,1232.0,0.7319873592787327,36.36206896551724,24.0,3.717142857142857,refuel,repair
Kia Rio X,economy,petrol,3.94,2013,42241,2020,4.513965517241379,20615362.83010762,0.1,118.0,166,56.5,612,-2.5595158766728243,8.064367816091954,2078.0,0.4475281062300709,32.39655172413793,24.0,3.6942857142857144,oil_change,reparking
Mini Cooper,business,petrol,3.82,2015,80980,2021,3.953390804597701,23584207.42895133,0.1,176.09782506169174,171,44.5,134,20.011321688572387,8.203448275862069,2122.0,0.5754720762131871,33.839080459770116,25.0,3.665714285714286,refuel,repair
Kia Sportage,standart,petrol,5.04,2015,78278,2019,4.4463218390804595,13374474.475720176,0.1,106.01236778221644,169,38.0,140,29.73080461510127,7.783333333333333,1585.0,0.45029380352676585,32.18390804597701,23.0,3.5,refuel,repair
Smart Coupe,economy,petrol,3.62,2014,57045,2016,4.132586206896552,17551412.799153045,0.1,178.5492779805232,167,36.0,134,-6.123806521708447,8.1316091954023,1755.0,0.716253323868846,34.39080459770115,27.0,3.44,refuel_check,repair
Audi Q3,premium,petrol,3.94,2013,44650,2019,4.33632183908046,11844129.996190058,0.1,116.56356247464424,169,39.0,141,8.86372709307827,7.901724137931035,1575.0,0.3036418976592662,35.293103448275865,25.0,3.1314285714285712,refuel_reparking,repair
Mini Cooper,business,petrol,3.56,2015,80585,2018,4.233793103448275,11622095.643143594,0.1,164.28389768688672,172,45.0,148,-13.605639623007146,8.193103448275862,2368.0,0.635835240378071,33.48275862068966,25.0,3.5828571428571427,refuel,repair
Skoda Rapid,economy,petrol,4.92,2014,67785,2020,4.5809195402298855,10340418.268276619,0.93,149.43257425634403,166,37.0,169,16.96520409639259,8.082758620689656,1626.0,0.47432054615961755,32.775862068965516,22.0,2.9857142857142858,refuel_check,repair
Kia Rio,economy,petrol,3.28,2013,48102,2014,4.528275862068965,7160229.937664421,0.83,93.0,168,40.5,132,1.7236224712969204,7.841954022988506,1547.0,0.5256221791261209,33.37931034482759,28.0,3.205714285714286,refuel_check,reparking
VW Polo VI,economy,petrol,1.9,2015,86195,2022,4.594942528735632,16888920.57601766,0.16,159.0,172,42.0,142,-1.875788549105918,8.033333333333333,1833.0,0.3405389399889108,33.827586206896555,24.0,2.342857142857143,refuel,reparking
Skoda Rapid,economy,petrol,4.8,2017,115709,2016,5.349080459770115,14161722.469518146,0.54,105.81033274205868,171,38.5,150,0.108561947432882,8.066666666666666,1336.0,0.6843590497028738,33.867816091954026,29.0,4.557142857142857,refuel,repair
VW Polo VI,economy,petrol,2.64,2015,87089,2016,4.238333333333333,13684028.168578677,0.1,177.0,166,46.5,140,21.069202974128277,7.76551724137931,1537.0,0.5203980537832863,31.10919540229885,26.0,4.385714285714286,refuel_check,repair
Kia Sportage,standart,petrol,4.7,2013,40945,2022,4.232586206896552,22062781.959643282,0.1,191.80033764372743,170,45.5,140,15.276125403974344,7.9977011494252865,1312.0,0.456994945095404,33.44252873563219,24.0,3.257142857142857,refuel_check,repair
Skoda Rapid,economy,petrol,3.34,2013,43291,2020,4.808448275862069,11139433.820574548,0.1,165.0,165,38.5,129,-1.4767841404190505,8.15632183908046,2004.0,0.5461551641889988,32.327586206896555,26.0,2.705714285714286,refuel_check,reparking
VW Polo,economy,petrol,3.46,2013,58090,2016,4.87367816091954,12252643.838230189,0.61,140.97809491386093,170,61.5,687,-3.5026407559822164,8.104022988505747,1892.0,0.4535870995968231,34.62068965517241,26.0,3.5942857142857143,refuel,repair
Kia Sportage,standart,petrol,3.96,2015,86796,2016,4.494597701149425,13134516.379807444,0.18,104.84839915848671,168,40.0,141,-5.611458023865826,7.864367816091955,1592.0,0.6755552547186726,34.51149425287356,28.0,4.52,refuel,repair
Kia Sportage,standart,petrol,5.06,2014,60168,2019,4.458735632183909,19114756.21716658,0.1,189.24927886489576,166,46.0,163,4.377306511488046,7.8212643678160925,1585.0,0.5925355563961022,33.36206896551724,26.0,3.2714285714285714,refuel,reparking
Smart Coupe,economy,petrol,4.66,2014,55577,2018,4.4110919540229885,12892613.624458909,0.1,184.2194864863617,169,45.0,142,-0.17097612886857633,7.9833333333333325,1177.0,0.5207417020688574,35.64942528735632,23.0,3.342857142857143,refuel_check,repair
Kia Rio,economy,petrol,6.36,2012,22693,2018,5.51103448275862,14965348.035427338,0.1,111.5664156244652,166,40.0,155,-1.3202901710723771,8.0183908045977,1312.0,0.7612712492786704,34.36206896551724,27.0,4.282857142857143,refuel,reparking
Renault Kaptur,standart,petrol,3.38,2015,84574,2020,5.403390804597701,7581411.957874675,0.1,111.64602069468302,170,42.0,139,4.752780837118897,7.941954022988506,1211.0,0.4194800072538835,36.275862068965516,28.0,4.2457142857142856,refuel,repair
VW Polo,economy,petrol,3.5,2015,86909,2017,4.765862068965517,12535862.833713751,0.1,155.40621382525953,170,52.0,585,-6.305704193299404,8.017816091954023,2144.0,0.5791993173073281,35.166666666666664,25.0,4.2,refuel_check,repair
Kia Sportage,standart,petrol,4.16,2015,77634,2016,3.939885057471264,11011081.245740276,0.1,186.2764126407857,168,46.5,132,15.308018034812108,8.017816091954023,1356.0,0.4930207403661157,32.810344827586206,25.0,3.182857142857143,refuel,repair
VW Polo,economy,petrol,3.92,2014,69295,2015,4.72,14471218.430893376,0.56,149.23264132703434,169,56.5,700,-2.1817693726205944,8.056896551724138,2120.0,0.5043324964328336,34.298850574712645,24.0,3.982857142857143,refuel,repair
Renault Sandero,standart,petrol,1.32,2015,83853,2021,4.151149425287356,19619838.85178396,0.1,182.3550595522883,167,45.5,152,24.286416182754067,8.071264367816093,2180.0,0.4622928561646263,33.02873563218391,24.0,3.14,refuel,repair
Smart Coupe,economy,petrol,4.42,2013,42066,2017,4.419827586206896,19746220.951504156,0.1,92.38487449690062,170,42.5,133,2.0334552264599077,7.776436781609195,1587.0,0.7219356469257757,34.333333333333336,28.0,4.140000000000001,refuel,repair
VW Polo,economy,petrol,5.16,2014,55548,2016,4.692183908045977,8565846.726994988,0.1,117.0,169,56.0,620,-1.8176216575749493,8.18735632183908,1803.0,0.625272440263877,33.54022988505747,25.0,4.34,refuel,repair
Smart ForFour,economy,petrol,3.4,2015,79021,2019,4.5279885057471265,11412318.174006183,0.1,116.11252091498324,169,43.0,140,-2.8168903429528003,7.825862068965518,1567.0,0.3155385272136076,34.62643678160919,29.0,3.2342857142857144,refuel_check,reparking
Kia Sportage,standart,petrol,4.08,2014,57624,2018,4.526781609195402,14109002.523386283,0.31,160.6789688128813,171,42.0,145,0.8764918995580664,8.094252873563219,2279.0,0.5846437721729707,33.47701149425287,28.0,2.8885714285714283,refuel,repair
Kia Sportage,standart,petrol,4.62,2013,45652,2014,4.454080459770115,14672086.237507896,0.49,161.26479019229834,169,41.5,152,6.554287947483109,8.149425287356323,1801.0,0.40125013710648555,34.54022988505747,27.0,3.237142857142857,refuel,repair
Hyundai Solaris,economy,petrol,4.68,2011,1990,2016,4.255172413793104,11257529.31416304,0.1,179.72965247919922,171,43.0,142,-0.28822914965281377,7.817816091954023,1618.0,0.4480149413012968,33.666666666666664,28.0,2.7142857142857144,refuel,reparking
Kia Rio X,economy,petrol,4.54,2014,58913,2019,4.64264367816092,9481592.157318227,0.0,194.97560066684235,169,42.0,133,-3.705662298072444,7.951724137931034,1374.0,0.6619646364264857,35.54022988505747,25.0,2.6142857142857143,refuel,reparking
Kia Rio X-line,economy,petrol,5.02,2012,24705,2016,5.386954022988506,7451944.1111442335,0.1,113.43349206822596,165,38.0,130,14.187425451817914,7.974137931034483,1198.0,0.5194937847001015,33.01149425287356,26.0,3.36,refuel_check,reparking
VW Polo VI,economy,petrol,5.7,2011,3944,2017,4.553850574712643,16677940.36565882,0.1,118.78815472699677,167,63.5,709,-4.289645097292685,8.106896551724137,1575.0,0.4161789695059406,33.93103448275862,24.0,2.8914285714285715,refuel,reparking
Nissan Qashqai,standart,petrol,3.9,2013,39812,2020,4.522183908045977,18058229.752391644,0.1,177.12467301694423,168,54.0,665,10.165482706733842,8.148275862068965,2004.0,0.6469013865756154,33.94827586206897,27.0,2.917142857142857,refuel,reparking
Renault Kaptur,standart,petrol,4.82,2013,43819,2020,5.214540229885058,14766117.833623705,0.1,126.71140884501352,169,45.0,160,-3.0203243605212537,8.017241379310345,1328.0,0.46276318022372653,33.44252873563219,26.0,4.214285714285714,refuel,reparking
MINI CooperSE,business,electro,4.54,2012,19342,2018,4.706724137931035,16183191.443751914,0.21,188.0,168,59.5,686,19.794771004923813,8.020114942528735,1977.0,0.5883545022549864,35.59770114942529,21.0,3.7314285714285713,refuel,repair
Smart ForFour,economy,petrol,4.26,2017,113826,2020,4.132471264367815,10258421.90559791,0.1,155.72744019078985,165,41.0,133,-14.52630528380812,8.141954022988505,2144.0,0.48855331265369045,33.247126436781606,26.0,4.062857142857142,refuel_check,repair
Renault Sandero,standart,petrol,4.22,2015,71849,2022,4.226091954022989,20687565.333075345,0.1,116.0,166,40.0,151,2.2913650848284317,7.851149425287356,1622.0,0.586619749815005,34.13793103448276,27.0,3.7314285714285713,refuel,repair
Kia Sportage,standart,petrol,4.32,2012,26584,2017,4.5120114942528735,9470037.567035953,0.1,171.50655449716027,168,41.0,142,5.667442199327134,8.092528735632184,1873.0,0.5123795937866252,33.132183908045974,26.0,2.6457142857142855,refuel,reparking
Kia Rio X-line,economy,petrol,3.92,2011,1313,2019,4.044885057471265,16711929.716241231,0.0,190.8460106221391,170,42.0,135,-1.257813113758559,8.045402298850576,1342.0,0.40881039938905156,33.09770114942529,27.0,2.8314285714285714,refuel_check,reparking
Skoda Rapid,economy,petrol,4.18,2017,131026,2020,4.61448275862069,17246833.60559975,0.1,124.28008226278638,172,52.5,487,10.297623564755922,8.151149425287356,2350.0,0.8760497766594434,32.52298850574713,26.0,3.1657142857142855,refuel_check,reparking
Renault Sandero,standart,petrol,4.9,2014,64792,2016,4.467011494252874,10219854.886786902,0.1,109.79146074088548,168,37.0,131,2.2364864961295563,7.839080459770115,1438.0,0.5173911312845385,34.05747126436781,25.0,3.9028571428571426,refuel_check,repair
Kia Rio X-line,economy,petrol,4.7,2015,84448,2016,3.974310344827586,11868777.854745377,0.1,195.25376048904135,168,44.0,134,12.888572922755637,7.993678160919541,1292.0,0.46502217442630434,35.235632183908045,26.0,2.9657142857142857,refuel,repair
Smart ForTwo,economy,petrol,3.56,2016,108452,2018,4.160574712643679,15124782.223250013,0.1,194.0,167,45.5,148,0.6145822849220366,7.870689655172414,1471.0,0.7141341594411573,32.99425287356322,27.0,3.157142857142857,refuel_check,reparking
VW Polo VI,economy,petrol,4.72,2013,36669,2017,4.793390804597701,11064873.677132173,0.1,151.22710796873963,166,52.5,596,-0.44860704196242185,8.139655172413793,1962.0,0.7608086668974554,34.06896551724138,25.0,3.605714285714286,refuel,repair
Smart ForFour,economy,petrol,6.08,2017,134494,2017,4.381954022988506,16560711.102481015,0.1,152.0,169,36.5,138,-9.787207766535449,8.155747126436781,1992.0,0.6082904874852345,33.270114942528735,25.0,3.0342857142857143,refuel_check,repair
VW Polo,economy,petrol,2.68,2011,847,2019,4.257413793103448,14849000.195355404,0.1,123.12010946208444,168,35.0,130,-5.233512106058043,7.754597701149425,1573.0,0.6453758649697906,34.367816091954026,28.0,3.6285714285714286,refuel_check,repair
Kia Sportage,standart,petrol,4.58,2014,64138,2021,5.528333333333333,10170031.500989046,0.17,101.68913597415798,170,39.0,124,25.254952919759912,7.971264367816092,1200.0,0.39951976933362443,34.51149425287356,25.0,3.9028571428571426,refuel_check,repair
Skoda Rapid,economy,petrol,3.7,2015,81430,2021,4.216896551724138,12441822.210375678,0.1,158.93607171726043,172,44.5,123,7.1844808742492035,8.09655172413793,1844.0,0.500810101505729,33.14367816091954,28.0,3.5399999999999996,refuel,reparking
Audi Q3,premium,petrol,4.64,2017,126002,2020,4.211494252873563,18077739.907977883,0.0,177.05674248299593,167,48.5,163,-7.9590618230790415,8.052298850574712,1235.0,0.436867267699479,35.89655172413793,26.0,3.9057142857142852,refuel_check,repair
Renault Kaptur,standart,petrol,5.68,2013,41695,2019,4.320632183908046,8568823.238808423,0.1,179.33011786925508,170,44.0,150,10.39610015347601,8.055172413793104,2049.0,0.6066086250923949,33.689655172413794,29.0,4.277142857142857,refuel,repair
Hyundai Solaris,economy,petrol,4.02,2014,66759,2020,4.382701149425287,9615681.520479592,0.1,153.0,166,38.0,140,-5.902176237451829,8.141379310344828,2005.0,0.5091314460858241,33.2183908045977,28.0,3.5942857142857143,refuel,repair
Renault Kaptur,standart,petrol,5.14,2012,19322,2016,4.916724137931034,21833009.717274982,0.1,194.00510835900224,169,58.0,626,3.3570085177436177,8.075862068965517,2403.0,0.4375788169606325,33.51724137931034,25.0,3.0485714285714285,oil_change,reparking
Skoda Rapid,economy,petrol,5.82,2017,138349,2020,4.557701149425287,15468440.286638562,0.1,162.90268124822367,169,40.0,136,-12.13649773850662,8.11551724137931,1817.0,0.7478194331050182,34.5,23.0,2.9714285714285715,refuel_check,repair
VW Polo,economy,petrol,5.34,2014,57017,2020,4.533275862068965,12917083.771691654,0.1,116.65121326476677,168,59.5,744,-0.7178299073040524,8.083333333333334,1951.0,0.4690964208167822,35.2816091954023,26.0,3.525714285714286,refuel,repair
Nissan Qashqai,standart,petrol,4.86,2012,21071,2017,4.1659770114942525,19378730.420263287,0.1,166.3689220029719,165,46.0,145,13.83314843637423,8.117241379310345,1780.0,0.4472990073730235,33.327586206896555,26.0,4.248571428571428,refuel_check,repair
Hyundai Solaris,economy,petrol,4.76,2014,65451,2014,4.667816091954023,7236830.633993054,0.27,114.30288388974122,164,38.0,128,6.852539140639772,7.852873563218392,1518.0,0.4853503133221459,33.12643678160919,26.0,3.182857142857143,refuel,reparking
Kia Sportage,standart,petrol,4.78,2015,76990,2019,3.8163218390804596,8976705.979293106,0.1,165.61171386668656,169,48.0,149,22.774658138492285,8.145977011494253,1882.0,0.618297051468935,34.09770114942529,24.0,3.6342857142857143,refuel_check,repair
Mercedes-Benz GLC,business,petrol,4.2,2013,42048,2016,4.083103448275862,12457913.088009669,0.1,182.0,165,42.5,162,10.96481807739448,8.289080459770116,1827.0,0.7239523882699467,34.58620689655172,26.0,3.4714285714285715,refuel_check,repair
VW Polo,economy,petrol,5.52,2012,18037,2016,5.170919540229885,9304507.109758228,0.1,98.96940186135028,170,39.0,129,7.2850487297438615,7.958045977011494,1321.0,0.6787912760744679,35.189655172413794,24.0,2.974285714285714,refuel,reparking
Renault Sandero,standart,petrol,3.42,2011,2744,2020,4.668045977011494,14387318.537250245,0.1,187.05842981971375,167,61.5,584,-4.418063118778965,8.10632183908046,1773.0,0.6377539433058432,34.11494252873563,27.0,4.048571428571428,refuel_check,reparking
VW Tiguan,economy,petrol,1.86,2013,45175,2020,4.683965517241379,19309337.91085406,0.0,196.28584099268468,168,42.0,140,-1.0530922271667067,8.043103448275861,1271.0,0.4257394621205518,36.11494252873563,23.0,3.3971428571428572,refuel_check,repair
Skoda Rapid,economy,petrol,2.4,2016,94043,2018,4.069195402298851,13801456.433882207,0.1,189.0,172,44.0,151,-17.899928227287607,8.037931034482758,1282.0,0.4099316409842778,35.57471264367816,26.0,3.1599999999999997,refuel_check,repair
Hyundai Solaris,economy,petrol,4.68,2011,637,2014,4.241954022988506,12131833.479415977,0.1,187.55097433832785,164,42.0,155,-6.381633249759066,8.025862068965518,1294.0,0.6116818219716896,34.35057471264368,27.0,2.914285714285714,refuel,repair
Renault Kaptur,standart,petrol,1.92,2012,22679,2017,4.347586206896552,17769598.520602666,0.1,103.35082017429194,168,41.5,146,11.853363498312712,7.891379310344827,1614.0,0.2491615180512285,32.87356321839081,26.0,3.08,refuel,reparking
Renault Kaptur,standart,petrol,4.42,2013,44889,2019,5.235402298850575,13530131.326493802,0.1,121.91736703925844,172,41.0,160,4.946494650661924,8.02816091954023,1293.0,0.4754539140998489,35.89655172413793,26.0,4.797142857142857,refuel_check,repair
Hyundai Solaris,economy,petrol,4.42,2012,22197,2016,3.9097701149425284,7986489.089000905,0.1,195.76142400229853,172,43.5,158,-5.136948336837168,7.969540229885058,1273.0,0.6109780143884223,34.10919540229885,27.0,3.374285714285714,reparking,repair
VW Polo VI,economy,petrol,3.14,2011,6258,2015,3.9929310344827584,5463375.947383568,0.0,168.8058782767598,168,43.0,148,1.6926452291384362,8.010919540229885,1295.0,0.6792946221578187,33.764367816091955,26.0,4.428571428571429,refuel,repair
Kia Sportage,standart,petrol,3.28,2014,66223,2015,4.649655172413793,6136210.198414419,0.1,155.0,168,41.0,156,5.102762335855333,8.070689655172414,2023.0,0.7656692759318278,33.01724137931034,24.0,2.8028571428571425,refuel,repair
Mercedes-Benz GLC,business,petrol,4.28,2015,86541,2020,4.684712643678161,16266200.324109314,0.1,183.0,169,56.0,661,14.666232551844782,8.571264367816093,2322.0,0.6075988062469726,35.37356321839081,26.0,3.8028571428571425,refuel,reparking
Kia Rio X,economy,petrol,4.84,2015,86783,2019,5.214252873563218,9859353.706102503,0.1,110.67152981814372,169,39.0,159,23.39640685674481,7.982758620689655,1251.0,0.4224010176812389,34.89080459770115,25.0,3.5971428571428574,refuel,repair
Kia Rio X-line,economy,petrol,3.98,2013,42404,2019,4.0343103448275865,14150813.021016788,0.1,197.13045115344136,167,47.5,145,-2.4231208094648347,7.825287356321838,1559.0,0.4470126338017141,33.195402298850574,26.0,3.0028571428571427,refuel_check,reparking
Kia Rio,economy,petrol,3.96,2015,82558,2018,4.616666666666666,13598550.849475067,0.1,100.92792843135452,171,43.0,162,3.499113738667778,7.833333333333333,1656.0,0.5283636237328048,33.701149425287355,26.0,3.6771428571428566,refuel,repair
